contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades,datetime
NIFTY 13-Apr-2026,13-Apr-2026,Call,22100,1963.0,246.4,14.35,1936.5,1975.0,1891.0,1970.8,2665,5176096.25,5176096.25,64072596.25,24050.6,281.0,41,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25400,1357.0,-182.35,-11.85,1536.95,1536.95,1357.0,1357.0,2470,3490949.8,3490949.8,66228949.8,24050.6,73.0,38,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25600,1621.0,-179.0,-9.94,1599.0,1621.0,1563.1,1621.0,2405,3809520.0,3809520.0,65377520.0,24050.6,51.0,37,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22550,1502.55,229.1,17.99,1404.0,1525.0,1394.65,1509.15,2340,3445322.4,3445322.4,56212322.4,24050.6,250.0,36,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25100,1047.0,-248.55,-19.18,1100.0,1141.1,1032.0,1033.9,2080,2176553.6,2176553.6,54384553.6,24050.6,61.0,32,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22450,1616.3,261.85,19.33,1550.0,1616.3,1520.0,1613.15,1560,2442336.0,2442336.0,37464336.0,24050.6,428.0,24,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,24950,887.0,-303.0,-25.46,903.0,980.2,887.0,888.5,1495,1411025.85,1411025.85,38711275.85,24050.6,44.0,23,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25650,1583.6,-1068.85,-40.3,1630.0,1643.35,1583.6,1613.5,1300,2114697.0,2114697.0,35459697.0,24050.6,11.0,20,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25900,1945.0,-995.0,-33.84,1910.0,1945.0,1850.5,1945.0,845,1606539.35,1606539.35,23492039.35,24050.6,8.0,13,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25800,1749.0,-69.6,-3.83,1801.0,1801.0,1749.0,1749.0,845,1494999.35,1494999.35,23295999.35,24050.6,18.0,13,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Call,22150,1902.5,278.95,17.18,1867.75,1903.8,1837.3,1902.5,845,1592470.1,1592470.1,20309220.1,24050.6,91.0,13,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,26100,2054.0,-316.0,-13.33,2128.2,2128.2,2031.55,2047.85,585,1212851.25,1212851.25,16481351.25,24050.6,5.0,9,2026-04-11 10:09:51
NIFTY 13-Apr-2026,13-Apr-2026,Put,25550,1519.0,-131.0,-7.94,1519.0,1519.0,1519.0,1519.0,520,789880.0,789880.0,14075880.0,24050.6,2.0,8,2026-04-11 10:09:51
